,Date,Close/Last,Volume,Open,High,Low
0,2021-06-09,3281.15,2455530,3272.87,3297.58,3270.7
1,2021-06-08,3264.11,3416730,3222.61,3279.5321,3218.01
2,2021-06-07,3198.01,2215756,3197.33,3208.0,3172.2
3,2021-06-04,3206.22,2249749,3212.0,3221.0,3198.81
4,2021-06-03,3187.01,2398293,3204.23,3214.435,3184.03
5,2021-06-02,3233.99,2014524,3223.1,3235.0,3208.0
6,2021-06-01,3218.65,2430045,3243.495,3250.98,3209.06
7,2021-05-28,3223.07,2331509,3242.0,3247.99,3219.7
8,2021-05-27,3230.11,2561157,3256.0,3260.355,3230.04
9,2021-05-26,3265.16,2383986,3274.591,3295.73,3258.51
10,2021-05-25,3259.05,3261109,3266.67,3279.82,3213.76
11,2021-05-24,3244.99,2422813,3215.5,3257.95,3210.4993
12,2021-05-21,3203.08,4104882,3250.0,3256.6946,3197.01
13,2021-05-20,3247.68,2633192,3244.4042,3259.6799,3236.18
14,2021-05-19,3231.8,2679708,3195.0,3234.75,3184.0
15,2021-05-18,3232.28,2828391,3292.575,3312.0,3230.37
16,2021-05-17,3270.39,3685599,3245.93,3292.75,3234.59
17,2021-05-14,3222.9,3325022,3185.56,3228.86,3183.0
18,2021-05-13,3161.47,3356877,3185.47,3203.84,3133.0
19,2021-05-12,3151.94,4936410,3185.0,3207.94,3133.1
20,2021-05-11,3223.91,4619781,3136.28,3238.0,3127.37
21,2021-05-10,3190.49,5838603,3282.32,3283.0,3190.0
22,2021-05-07,3291.61,4710276,3319.09,3330.89,3289.0704
23,2021-05-06,3306.37,4447696,3270.0,3314.4,3247.2
24,2021-05-05,3270.54,3711308,3338.855,3354.695,3264.36
25,2021-05-04,3311.87,5439449,3356.19,3367.975,3272.13
26,2021-05-03,3386.49,5875530,3484.73,3486.645,3372.7012
27,2021-04-30,3467.42,7009346,3525.12,3554.0,3462.5
28,2021-04-29,3471.31,7682381,3505.098,3514.445,3435.0
29,2021-04-28,3458.5,4631884,3434.8,3489.88,3425.0
30,2021-04-27,3417.43,3827140,3443.47,3460.0,3398.01
31,2021-04-26,3409.0,4880708,3348.0,3428.45,3330.94
32,2021-04-23,3340.88,3196652,3319.1,3375.0,3308.5
33,2021-04-22,3309.04,2580590,3371.68,3372.87,3301.45
34,2021-04-21,3362.02,2211166,3316.0,3362.86,3303.8061
35,2021-04-20,3334.69,2623032,3373.6,3382.99,3316.0
36,2021-04-19,3372.01,2725405,3390.33,3435.9333,3360.16
37,2021-04-16,3399.44,3186049,3380.0,3406.8,3355.59
38,2021-04-15,3379.09,3233580,3371.0,3396.9999,3352.0
39,2021-04-14,3333.0,3145204,3404.04,3404.13,3326.0
40,2021-04-13,3400.0,3315837,3400.845,3432.0,3395.63
41,2021-04-12,3379.39,3281798,3355.21,3395.04,3351.15
42,2021-04-09,3372.2,4341473,3304.7,3372.2,3288.9
43,2021-04-08,3299.3,2812090,3310.9,3324.5,3292.0
44,2021-04-07,3279.39,3346227,3233.8,3303.6125,3223.65
45,2021-04-06,3223.82,2537809,3223.75,3247.31,3217.04
46,2021-04-05,3226.73,3334882,3173.0,3235.955,3161.24
47,2021-04-01,3161.0,2940318,3117.94,3162.44,3115.55
48,2021-03-31,3094.08,3093896,3064.06,3119.33,3062.5
49,2021-03-30,3055.29,2337603,3070.01,3073.0,3034.0
