,Date,Close/Last,Volume,Open,High,Low
0,2021-06-09,54.02,14861230,54.18,54.42,53.935
1,2021-06-08,54.13,15329690,53.97,54.39,53.89
2,2021-06-07,53.92,14899750,54.32,54.44,53.79
3,2021-06-04,54.07,11676700,53.435,54.17,53.435
4,2021-06-03,53.33,17593100,52.8,53.555,52.62
5,2021-06-02,52.96,14529320,52.65,52.99,52.4
6,2021-06-01,52.62,15741980,52.96,53.315,52.43
7,2021-05-28,52.9,14864350,53.18,53.22,52.835
8,2021-05-27,52.92,56216070,52.93,53.35,52.58
9,2021-05-26,52.91,18671190,53.35,53.61,52.82
10,2021-05-25,53.31,20657180,53.37,53.58,53.14
11,2021-05-24,53.39,21128860,52.96,53.765,52.79
12,2021-05-21,52.43,24468370,52.765,52.93,52.24
13,2021-05-20,52.85,48830760,50.41,52.97,50.1
14,2021-05-19,52.47,29187940,51.88,52.66,51.86
15,2021-05-18,52.93,20177200,52.8,53.34,52.74
16,2021-05-17,52.94,15728680,52.76,53.15,52.68
17,2021-05-14,52.9,14789380,52.93,53.215,52.6
18,2021-05-13,52.49,15868660,52.11,52.805,51.88
19,2021-05-12,51.6,22123310,52.18,52.43,51.4661
20,2021-05-11,52.83,20220910,53.1,53.11,52.11
21,2021-05-10,53.16,23845560,53.97,54.14,53.16
22,2021-05-07,53.43,24146010,52.48,53.675,52.22
23,2021-05-06,52.44,27106820,51.07,52.71,50.95
24,2021-05-05,51.13,16205350,50.99,51.25,50.68
25,2021-05-04,50.71,18164790,51.11,51.23,50.295
26,2021-05-03,51.17,13465910,51.21,51.4,50.81
27,2021-04-30,50.91,19930550,51.22,51.23,50.41
28,2021-04-29,51.46,13916580,51.18,51.6,50.98
29,2021-04-28,51.11,14984040,51.56,51.77,50.92
30,2021-04-27,51.37,13600990,51.58,51.67,51.35
31,2021-04-26,51.64,13778190,51.65,51.7685,51.5
32,2021-04-23,51.91,14017740,51.5035,52.13,51.1773
33,2021-04-22,51.5,15564760,51.81,52.0865,51.38
34,2021-04-21,51.93,14015530,51.84,52.07,51.48
35,2021-04-20,51.79,21257480,52.59,52.79,51.595
36,2021-04-19,52.85,20245610,52.525,52.96,52.49
37,2021-04-16,52.8,28327910,52.45,53.18,52.26
38,2021-04-15,51.64,17869820,51.76,51.94,51.37
39,2021-04-14,51.37,15376590,51.51,51.68,51.14
40,2021-04-13,51.66,13353170,51.64,51.88,51.34
41,2021-04-12,51.57,16441730,52.07,52.16,51.47
42,2021-04-09,52.09,13135750,51.83,52.15,51.675
43,2021-04-08,51.91,15111250,51.94,52.0,51.45
44,2021-04-07,51.77,15783650,52.01,52.14,51.58
45,2021-04-06,52.025,15126110,51.98,52.22,51.78
46,2021-04-05,52.41,19860910,51.628,52.92,51.628
47,2021-04-01,51.98,17896170,51.75,52.07,51.35
48,2021-03-31,51.71,22212380,51.83,52.05,51.545
49,2021-03-30,51.77,22465100,52.11,52.29,51.175
50,2021-03-29,52.52,25032760,52.4008,52.9399,52.28
51,2021-03-26,52.57,31996950,50.6,52.64,50.56
52,2021-03-25,50.51,34537720,50.575,51.4,50.285
53,2021-03-24,49.65,26444740,49.94,50.4454,49.62
54,2021-03-23,50.01,28328170,50.02,50.68,49.9
55,2021-03-22,50.3,28813880,48.94,50.38,48.94
56,2021-03-19,48.98,65366840,48.71,49.22,48.32
57,2021-03-18,48.8,18417640,48.52,49.57,48.515
58,2021-03-17,49.42,18326920,49.61,49.61,48.89
59,2021-03-16,49.67,17282260,49.19,49.74,49.19
60,2021-03-15,49.41,15526110,48.9,49.44,48.9
61,2021-03-12,48.82,15196530,48.81,48.99,48.47
62,2021-03-11,48.8,21976560,48.51,49.08,48.225
63,2021-03-10,48.29,19841510,48.47,48.79,48.19
64,2021-03-09,47.89,26512660,47.824,48.37,47.72
65,2021-03-08,47.51,34824530,46.24,48.4,46.2
66,2021-03-05,46.25,33197580,45.446,46.74,45.27
67,2021-03-04,44.56,24653500,45.135,45.47,44.15
68,2021-03-03,45.13,16851130,45.43,45.53,45.0
69,2021-03-02,45.515,14832970,45.931,46.08,45.415
70,2021-03-01,45.92,17396070,45.22,46.22,45.22
71,2021-02-26,44.87,22144950,45.58,45.78,44.76
72,2021-02-25,45.52,21916720,45.585,46.24,45.24
73,2021-02-24,45.74,17823650,45.24,45.8,45.035
74,2021-02-23,45.51,19714930,45.26,45.78,45.1
75,2021-02-22,45.43,21435790,45.29,45.68,44.82
76,2021-02-19,45.68,25117700,46.54,46.61,45.58
77,2021-02-18,46.34,16867520,46.39,46.4,45.69
78,2021-02-17,46.25,13301380,46.315,46.4,45.865
79,2021-02-16,46.51,18539030,47.26,47.26,46.4
80,2021-02-12,47.29,15239820,47.425,47.69,46.91
81,2021-02-11,47.58,18589910,47.349,47.91,47.1978
82,2021-02-10,47.24,44540880,46.15,47.41,45.83
83,2021-02-09,48.5,24795020,48.766,48.8317,48.41
84,2021-02-08,48.94,25215440,48.56,49.34,48.56
85,2021-02-05,48.08,25488560,47.57,48.34,47.5
86,2021-02-04,47.25,22285660,45.87,47.32,45.77
87,2021-02-03,45.77,13173640,45.75,46.16,45.54
88,2021-02-02,45.83,16520930,45.52,45.94,45.43
89,2021-02-01,45.4,16776850,44.92,45.625,44.66
90,2021-01-29,44.58,22608100,44.85,45.37,44.48
91,2021-01-28,45.34,21166030,45.914,46.27,45.3
92,2021-01-27,45.7,29634490,45.24,46.46,45.08
93,2021-01-26,45.26,13087750,44.885,45.35,44.77
94,2021-01-25,45.03,16581260,45.04,45.17,44.71
95,2021-01-22,44.77,14643420,44.75,44.885,44.23
96,2021-01-21,45.11,17495890,45.2,45.235,44.72
97,2021-01-20,45.34,16499410,45.33,45.5,45.14
98,2021-01-19,45.19,28868850,45.33,45.63,44.77
99,2021-01-15,45.43,30271670,44.96,45.65,44.88
100,2021-01-14,45.15,22333480,44.87,45.6,44.85
101,2021-01-13,45.36,19367270,45.29,45.965,45.18
102,2021-01-12,45.79,20145040,45.3,45.925,44.96
103,2021-01-11,45.36,25062260,45.15,45.95,45.02
104,2021-01-08,45.06,20936280,44.48,45.41,44.25
105,2021-01-07,44.96,18218760,44.2,45.105,44.1659
106,2021-01-06,44.4,21823110,44.13,44.87,43.89
107,2021-01-05,43.98,17763660,43.68,44.07,43.38
108,2021-01-04,43.96,24392540,44.31,44.37,43.35
109,2020-12-31,44.75,15105480,44.38,44.84,44.16
110,2020-12-30,44.48,11043110,44.74,45.06,44.44
111,2020-12-29,44.64,11828960,44.97,45.245,44.53
112,2020-12-28,44.92,13458430,44.93,45.34,44.72
113,2020-12-24,44.54,5720538,44.45,44.59,44.23
114,2020-12-23,44.375,12032640,44.65,44.8029,44.35
115,2020-12-22,44.69,16031550,44.44,45.07,44.44
116,2020-12-21,44.88,19865300,44.47,44.955,44.065
117,2020-12-18,45.44,41026970,44.9,45.57,44.77
118,2020-12-17,44.82,16141600,44.91,44.93,44.6
119,2020-12-16,44.72,16191980,44.695,45.14,44.525
120,2020-12-15,44.72,18165250,44.39,44.795,44.135
121,2020-12-14,44.24,16112330,44.27,44.91,44.15
122,2020-12-11,44.32,14577710,43.94,44.33,43.72
123,2020-12-10,44.32,17741490,44.54,44.605,44.11
124,2020-12-09,44.69,22679750,44.47,44.83,44.36
125,2020-12-08,44.37,13348460,44.206,44.525,43.93
126,2020-12-07,44.35,14086830,44.287,44.49,43.91
127,2020-12-04,44.38,17319800,43.89,44.51,43.89
128,2020-12-03,44.11,27710710,43.78,44.14,43.595
129,2020-12-02,43.89,17422160,43.39,43.96,43.35
130,2020-12-01,43.54,23948790,43.01,44.07,43.01
131,2020-11-30,43.02,34741650,42.44,43.05,42.41
132,2020-11-27,42.7,10769520,42.855,42.98,42.64
133,2020-11-25,42.5,22617660,42.78,42.8,42.21
134,2020-11-24,42.61,22849730,42.14,42.71,41.9
135,2020-11-23,41.64,19656680,41.03,41.8,41.02
136,2020-11-20,40.97,19778950,41.05,41.39,40.92
137,2020-11-19,41.17,22177710,41.0,41.37,40.77
138,2020-11-18,41.32,21327710,41.9,42.2386,41.255
139,2020-11-17,41.88,23140910,41.92,42.345,41.62
140,2020-11-16,42.54,34572650,41.74,42.59,41.35
141,2020-11-13,41.4,49120100,41.2,41.52,40.56
142,2020-11-12,38.67,29543620,38.98,39.39,38.395
143,2020-11-11,39.33,27332810,39.01,39.45,38.44
144,2020-11-10,38.72,31514510,38.21,39.025,38.167
145,2020-11-09,38.2,42649540,39.92,40.23,38.12
146,2020-11-06,37.53,19475290,37.56,37.6,37.08
147,2020-11-05,37.23,23149700,37.02,37.3,36.91
148,2020-11-04,36.57,30121920,37.031,37.3,36.5
149,2020-11-03,36.68,27342890,36.36,37.33,36.3
150,2020-11-02,35.9,23483100,36.19,36.35,35.67
151,2020-10-30,35.9,29159660,35.595,35.93,35.49
152,2020-10-29,35.69,35331970,35.51,36.07,35.28
153,2020-10-28,35.71,34561490,36.315,36.51,35.68
154,2020-10-27,36.87,37911470,37.38,37.5,36.59
155,2020-10-26,37.67,29146550,38.4,38.43,37.15
156,2020-10-23,38.82,15556080,38.93,38.97,38.65
157,2020-10-22,38.82,20399040,38.85,38.96,38.38
158,2020-10-21,39.06,17016270,39.31,39.57,38.98
159,2020-10-20,39.2,16564890,39.44,39.51,39.03
160,2020-10-19,39.3,19600470,40.15,40.38,39.16
161,2020-10-16,40.16,21295120,39.88,40.3,39.55
162,2020-10-15,39.97,15456970,39.47,40.0,39.35
163,2020-10-14,39.89,16444690,39.85,40.42,39.76
164,2020-10-13,39.81,23438270,40.54,40.61,39.71
165,2020-10-12,40.36,22757250,39.93,40.53,39.63
166,2020-10-09,39.85,16167470,40.145,40.23,39.72
167,2020-10-08,39.79,19031350,39.8,40.18,39.66
168,2020-10-07,39.4,20593710,38.98,39.58,38.78
169,2020-10-06,38.57,28430810,38.5,39.35,38.4
170,2020-10-05,38.57,26929050,38.48,38.79,38.285
171,2020-10-02,38.27,24492960,38.046,38.55,37.97
172,2020-10-01,38.8,20763540,39.1,39.31,38.565
173,2020-09-30,39.39,27113200,39.09,39.7,39.02
174,2020-09-29,39.06,16476890,39.07,39.375,38.83
175,2020-09-28,39.13,24275700,39.195,39.29,38.79
176,2020-09-25,38.45,22966650,37.76,38.54,37.62
177,2020-09-24,37.85,30910350,38.0,38.16,37.6
178,2020-09-23,38.28,24843240,39.23,39.39,38.18
179,2020-09-22,39.32,17656820,39.18,39.46,38.88
180,2020-09-21,39.04,28494970,39.31,39.47,38.69
181,2020-09-18,39.81,44450760,40.18,40.32,39.575
182,2020-09-17,40.37,22225920,39.66,40.4,39.51
183,2020-09-16,40.42,24322450,40.72,41.17,40.39
184,2020-09-15,40.6,19024100,40.51,40.839,40.38
185,2020-09-14,40.37,19866720,40.215,40.64,40.05
186,2020-09-11,39.88,21852960,39.765,40.05,39.515
187,2020-09-10,39.57,25108750,40.03,40.635,39.42
188,2020-09-09,40.13,23351620,40.1,40.475,39.715
189,2020-09-08,40.0,29101790,40.05,40.61,39.97
190,2020-09-04,40.82,34867420,41.2,41.43,40.44
191,2020-09-03,40.95,39288120,41.75,41.83,40.67
192,2020-09-02,42.42,30045680,42.04,42.69,42.03
193,2020-09-01,42.03,23344890,42.0,42.07,41.5
194,2020-08-31,42.22,21297990,42.1,42.35,41.94
195,2020-08-28,42.2,16573580,42.14,42.3,42.0
196,2020-08-27,42.29,22456770,42.4,42.47,42.02
197,2020-08-26,42.25,21625830,41.65,42.28,41.45
198,2020-08-25,41.96,15417360,42.23,42.3,41.78
199,2020-08-24,42.18,17742930,42.07,42.47,42.0
200,2020-08-21,42.25,17389560,42.05,42.3,41.81
201,2020-08-20,42.31,18443880,41.87,42.42,41.73
202,2020-08-19,41.87,20097420,42.1,42.35,41.78
203,2020-08-18,41.98,23344590,42.13,42.29,41.81
204,2020-08-17,42.09,30511750,42.55,42.7625,41.86
205,2020-08-14,42.5,32539450,42.49,42.88,42.27
206,2020-08-13,42.72,91849460,43.79,43.84,42.38
207,2020-08-12,48.1,27023680,47.28,48.13,47.27
208,2020-08-11,47.19,18859630,47.9,48.45,47.085
209,2020-08-10,47.73,14999190,47.16,48.0,47.16
210,2020-08-07,47.43,17054310,47.33,47.6,47.03
211,2020-08-06,47.77,14190870,47.23,47.825,47.1
212,2020-08-05,47.33,13077570,47.67,47.7331,47.05
213,2020-08-04,47.67,12839490,47.01,47.67,46.91
214,2020-08-03,47.16,14142520,47.14,47.355,46.68
215,2020-07-31,47.1,17706370,46.385,47.11,45.86
216,2020-07-30,46.44,15385150,46.13,46.46,45.375
217,2020-07-29,46.71,11618230,46.4,46.88,46.37
218,2020-07-28,46.28,13975260,46.98,47.08,46.21
219,2020-07-27,47.19,15575960,46.66,47.26,46.15
220,2020-07-24,46.4,16983630,47.49,47.64,46.11
221,2020-07-23,47.41,23750220,46.975,47.7,46.68
222,2020-07-22,46.9,27218260,47.016,47.11,46.53
223,2020-07-21,47.02,16074740,47.28,47.325,46.85
224,2020-07-20,46.97,15966490,46.67,47.1,46.26
225,2020-07-17,46.75,20389740,46.04,46.93,45.88
226,2020-07-16,45.78,17709450,45.7,45.83,45.2
227,2020-07-15,46.4,15704960,46.5,46.83,45.985
228,2020-07-14,46.26,19303460,45.49,46.5,45.4103
229,2020-07-13,45.93,17965550,46.87,46.99,45.78
230,2020-07-10,46.66,13775700,46.73,46.92,46.2366
231,2020-07-09,46.7,26027690,46.6,47.195,46.22
232,2020-07-08,45.81,15020770,45.59,46.07,45.32
233,2020-07-07,45.63,17102840,46.12,46.29,45.56
234,2020-07-06,46.42,16152860,46.07,46.49,45.87
235,2020-07-02,45.63,19631980,46.07,46.2182,45.48
236,2020-07-01,46.06,17129460,46.54,46.72,46.0
237,2020-06-30,46.64,21888830,46.145,47.01,46.095
238,2020-06-29,46.15,23875410,46.34,46.45,45.67
239,2020-06-26,46.31,106928300,45.119,46.51,44.63
240,2020-06-25,45.22,19114870,44.77,45.32,44.2
241,2020-06-24,44.75,22840140,45.288,45.47,44.39
242,2020-06-23,45.47,23222360,45.92,46.15,45.32
243,2020-06-22,45.16,18398600,45.11,45.46,44.805
244,2020-06-19,45.32,36103240,46.26,46.51,45.05
245,2020-06-18,45.83,22423460,45.79,46.05,45.35
246,2020-06-17,46.17,20399080,46.75,46.82,45.9
247,2020-06-16,46.48,28074580,47.41,47.49,45.91
248,2020-06-15,45.35,21300100,44.12,45.76,43.93
249,2020-06-12,45.07,26125550,44.96,45.86,44.11
250,2020-06-11,43.67,35582020,46.99,47.0,43.64
251,2020-06-10,47.42,18462380,47.66,47.83,47.12
252,2020-06-09,48.05,18597270,48.02,48.24,47.49
253,2020-06-08,48.13,17820920,47.46,48.16,47.12
254,2020-06-05,47.83,22591050,47.27,48.29,47.2
255,2020-06-04,46.86,14100660,46.77,47.25,46.5301
256,2020-06-03,46.94,17491950,46.98,47.2,46.54
257,2020-06-02,46.89,17285950,46.4,46.9,45.88
258,2020-06-01,46.3,18730620,47.15,47.285,46.23
259,2020-05-29,47.82,43570370,46.04,47.82,45.41
260,2020-05-28,45.595,20027750,45.9,46.46,45.373
261,2020-05-27,45.96,22157160,45.042,45.98,44.8
262,2020-05-26,44.84,21776880,45.78,45.7999,44.68
263,2020-05-22,44.9,12592810,44.67,44.95,44.12
264,2020-05-21,44.64,18674890,45.45,45.655,44.555
265,2020-05-20,45.44,20184460,45.05,45.82,45.03
266,2020-05-19,44.605,24345420,44.83,44.98,44.41
267,2020-05-18,45.06,26980080,45.21,45.295,44.3301
268,2020-05-15,44.27,30573030,42.93,44.38,42.85
269,2020-05-14,43.85,50417740,43.43,44.58,43.26
270,2020-05-13,41.95,36986700,43.41,43.57,41.31
271,2020-05-12,43.22,25817070,43.94,44.3,43.19
272,2020-05-11,43.32,26182690,42.78,43.65,42.605
273,2020-05-08,42.99,21962830,42.02,43.02,41.7
274,2020-05-07,41.37,20173640,41.59,41.765,41.215
275,2020-05-06,41.15,16040350,41.56,41.69,40.97
276,2020-05-05,41.46,15060220,41.61,41.925,41.39
277,2020-05-04,41.35,15997720,40.955,41.41,40.49
278,2020-05-01,40.92,22095260,41.72,41.81,40.765
279,2020-04-30,42.38,26679920,43.1654,43.1677,42.17
280,2020-04-29,43.34,17430130,43.346,43.48,42.93
281,2020-04-28,42.49,16427730,43.5,43.625,42.41
282,2020-04-27,43.06,17937890,42.7,43.22,42.58
283,2020-04-24,42.52,14641720,41.84,42.66,41.65
284,2020-04-23,41.62,16100170,41.89,42.55,41.53
285,2020-04-22,41.76,18337410,41.27,42.09,41.11
286,2020-04-21,40.55,31661040,41.83,41.99,40.41
287,2020-04-20,42.54,23438040,41.92,43.29,41.79
288,2020-04-17,42.48,30701460,42.25,42.64,41.74
289,2020-04-16,41.5,26177970,41.76,41.79,40.68
290,2020-04-15,41.52,18428790,42.203,42.37,41.23
291,2020-04-14,42.78,22882370,41.91,42.82,41.53
292,2020-04-13,41.22,19591970,41.04,41.46,40.53
293,2020-04-09,41.2,27650200,42.09,42.2,40.85
294,2020-04-08,41.74,22683520,41.17,42.2,40.865
295,2020-04-07,40.64,30366070,42.66,42.74,40.59
296,2020-04-06,41.43,31641430,40.46,41.68,39.78
297,2020-04-03,39.06,21235160,39.82,40.29,38.54
298,2020-04-02,39.8,28180490,37.84,39.945,37.47
299,2020-04-01,38.33,26790670,38.17,38.86,37.8742
300,2020-03-31,39.31,26019850,40.13,40.415,39.11
301,2020-03-30,40.32,27120330,39.45,40.485,38.96
302,2020-03-27,38.82,31278580,39.21,40.15,38.41
303,2020-03-26,40.58,38487230,37.97,40.92,37.3664
304,2020-03-25,37.67,42873920,38.65,39.95,37.5
305,2020-03-24,38.6,48235610,36.405,38.68,35.54
306,2020-03-23,34.6,39823400,35.51,35.82,33.74
307,2020-03-20,35.6,48582550,38.27,38.47,35.4
308,2020-03-19,37.71,58319650,37.05,39.32,36.15
309,2020-03-18,37.12,56904270,33.76,37.71,33.31
310,2020-03-17,35.5,41572400,34.7,36.25,33.6
311,2020-03-16,33.71,44211290,33.23,36.99,32.4001
312,2020-03-13,37.64,53859600,35.18,37.68,33.33
313,2020-03-12,33.2,51855310,34.5,35.82,33.0
314,2020-03-11,37.05,63608530,39.02,39.16,36.37
315,2020-03-10,40.08,50536520,39.248,40.145,37.87
316,2020-03-09,37.96,61535330,36.9,39.56,36.29
317,2020-03-06,39.68,48605590,38.0,39.95,37.8
318,2020-03-05,39.57,30255900,40.17,40.51,39.29
319,2020-03-04,41.39,30022090,40.72,41.45,39.8
320,2020-03-03,40.04,49294740,41.26,41.9,39.71
321,2020-03-02,41.17,48864270,40.15,41.19,38.92
322,2020-02-28,39.93,80194000,38.7,40.55,38.35
323,2020-02-27,40.04,51442850,41.28,42.095,40.01
324,2020-02-26,42.16,38528930,42.97,43.3775,41.94
325,2020-02-25,42.74,48024750,44.05,44.21,42.07
326,2020-02-24,44.0,35295920,45.0,45.68,44.0
327,2020-02-21,46.295,20031420,46.73,46.85,46.05
328,2020-02-20,46.85,20416660,46.09,46.96,45.9
329,2020-02-19,46.29,27626380,46.69,46.81,45.9
330,2020-02-18,46.59,18550360,46.82,46.85,46.29
331,2020-02-14,46.97,26747250,47.16,47.22,46.48
332,2020-02-13,47.32,47044720,47.15,47.67,46.58
333,2020-02-12,49.93,31686170,49.43,50.28,49.4
334,2020-02-11,49.13,23168270,49.39,49.714,48.8646
335,2020-02-10,48.87,19012720,47.99,48.89,47.88
336,2020-02-07,47.97,16807740,48.6,48.77,47.87
337,2020-02-06,48.69,9814844,48.69,48.82,48.22
338,2020-02-05,48.45,17042330,48.33,48.6,48.15
339,2020-02-04,47.62,13947270,47.22,47.7074,47.11
340,2020-02-03,46.53,15383530,46.4,46.825,46.21
341,2020-01-31,45.97,20069930,46.99,47.0,45.84
342,2020-01-30,47.24,14822580,46.54,47.27,46.26
343,2020-01-29,47.05,14289780,47.97,47.98,46.93
344,2020-01-28,47.77,14035050,47.52,47.965,47.5033
345,2020-01-27,47.47,20665990,47.89,48.07,47.27
346,2020-01-24,48.85,14066910,49.22,49.48,48.5433
347,2020-01-23,49.0,16767690,49.0,49.175,48.413
348,2020-01-22,49.06,15185990,49.28,49.53,49.04
349,2020-01-21,48.8,21771750,48.96,49.2,48.67
350,2020-01-17,49.02,27176170,49.31,49.54,48.87
351,2020-01-16,49.05,20094930,48.38,49.08,48.23
352,2020-01-15,48.01,16289440,47.92,48.395,47.7649
353,2020-01-14,47.79,17951760,47.96,47.99,47.62
354,2020-01-13,47.97,18243200,47.31,47.98,47.299
355,2020-01-10,47.13,13504600,47.48,47.56,47.06
356,2020-01-09,47.32,18211200,47.79,47.88,47.07
357,2020-01-08,47.52,25181660,46.97,47.785,46.81
358,2020-01-07,47.49,16566640,47.72,47.72,47.1
359,2020-01-06,47.8,22185270,47.14,47.82,47.01
360,2020-01-03,47.63,15587710,47.91,48.135,47.48
361,2020-01-02,48.42,16710080,48.06,48.42,47.88
362,2019-12-31,47.96,14894740,47.54,47.98,47.41
363,2019-12-30,47.59,12129050,47.75,47.88,47.29
364,2019-12-27,47.77,11058980,47.99,48.05,47.68
365,2019-12-26,47.85,11122020,47.78,48.0,47.65
366,2019-12-24,47.78,7044728,48.16,48.245,47.65
367,2019-12-23,48.1,20255220,47.55,48.3,47.422
368,2019-12-20,47.45,52583720,48.25,48.37,47.42
369,2019-12-19,47.88,30768600,47.15,47.99,47.11
370,2019-12-18,46.64,21928070,46.52,46.755,46.25
371,2019-12-17,46.44,22510490,46.22,46.52,45.93
372,2019-12-16,45.98,21875700,45.8,46.59,45.8
373,2019-12-13,45.3,21801580,45.91,46.05,45.2
374,2019-12-12,45.67,27073510,44.545,45.77,44.41
375,2019-12-11,44.28,16451400,44.36,44.45,44.15
376,2019-12-10,44.1,21863860,43.85,44.18,43.8
377,2019-12-09,43.9,17659770,43.89,44.37,43.75
378,2019-12-06,43.84,16544120,43.89,44.06,43.65
379,2019-12-05,43.52,22637280,44.05,44.1,43.4
380,2019-12-04,43.89,17206920,44.52,44.55,43.86
381,2019-12-03,44.28,20331670,44.4,44.49,43.74
382,2019-12-02,44.7,17647590,45.25,45.33,44.67
383,2019-11-29,45.31,9808886,45.24,45.54,45.15
384,2019-11-27,45.24,14895010,45.36,45.415,44.9259
385,2019-11-26,45.31,29424780,45.53,45.77,45.25
386,2019-11-25,45.45,19654600,45.0,45.55,44.93
387,2019-11-22,44.85,18725690,45.15,45.17,44.69
388,2019-11-21,44.84,19868780,45.13,45.15,44.69
389,2019-11-20,45.08,18668520,45.69,45.74,44.93
390,2019-11-19,45.47,19619580,45.39,45.595,45.08
391,2019-11-18,45.15,22746710,44.98,45.19,44.44
392,2019-11-15,45.09,32387640,45.07,45.65,44.81
393,2019-11-14,44.91,65609860,45.56,46.0,44.6
394,2019-11-13,48.46,27250240,48.24,48.85,48.15
395,2019-11-12,48.37,15641770,48.29,48.74,48.12
396,2019-11-11,48.1,19595430,48.01,48.47,47.56
397,2019-11-08,48.83,14414060,48.42,48.85,48.05
398,2019-11-07,48.42,16717750,48.61,48.98,48.2
399,2019-11-06,48.27,15904470,47.81,48.5,47.785
400,2019-11-05,47.76,18988940,47.59,47.92,47.26
401,2019-11-04,47.48,15018910,47.5,47.875,47.32
402,2019-11-01,47.03,24404130,46.85,47.485,46.64
403,2019-10-31,47.51,12488290,47.6,47.65,47.1
404,2019-10-30,47.56,12062030,47.3,47.58,47.16
405,2019-10-29,47.24,13713940,47.0,47.4261,46.91
406,2019-10-28,47.17,13859730,47.15,47.6,47.06
407,2019-10-25,46.9,15701150,46.54,46.99,46.46
408,2019-10-24,46.41,18456390,47.23,47.23,46.1
409,2019-10-23,47.05,15680880,47.47,47.7,46.84
410,2019-10-22,47.55,15203850,47.5,47.885,47.4
411,2019-10-21,47.39,14455710,47.14,47.48,46.97
412,2019-10-18,46.71,17227400,47.1,47.27,46.66
413,2019-10-17,47.03,14386300,47.15,47.3,46.6
414,2019-10-16,46.79,16584360,46.36,46.875,46.32
415,2019-10-15,46.36,18806670,46.25,46.58,46.035
416,2019-10-14,46.05,15967130,46.55,46.55,46.0
417,2019-10-11,46.56,25172220,46.67,47.3,46.46
418,2019-10-10,46.15,25016700,46.05,46.23,45.55
419,2019-10-09,46.84,16819430,46.92,47.1715,46.655
420,2019-10-08,46.39,23711970,47.5,47.54,46.35
421,2019-10-07,47.77,14937640,47.47,48.13,47.32
422,2019-10-04,47.52,16775500,47.25,47.63,46.95
423,2019-10-03,47.06,16533120,46.32,47.08,45.7
424,2019-10-02,46.56,32061450,47.35,47.3752,46.01
425,2019-10-01,47.74,24270300,49.65,49.87,47.36
426,2019-09-30,49.41,15107110,48.95,49.66,48.95
427,2019-09-27,48.84,16065690,49.0,49.47,48.6
428,2019-09-26,48.83,20264360,49.43,49.49,48.255
429,2019-09-25,49.605,15685240,49.05,49.77,48.58
430,2019-09-24,49.12,27127180,49.75,50.2,48.93
431,2019-09-23,49.42,19673530,49.66,49.75,49.28
432,2019-09-20,49.6,49139600,49.29,49.87,48.87
433,2019-09-19,49.19,15433810,49.35,49.92,49.04
434,2019-09-18,49.34,12665180,49.465,49.74,48.78
435,2019-09-17,49.41,16129130,49.98,50.02,49.18
436,2019-09-16,49.96,13025570,49.8,50.18,49.79
437,2019-09-13,50.03,15867790,50.01,50.22,49.76
438,2019-09-12,49.93,16546700,50.28,50.3,49.405
439,2019-09-11,50.03,18655960,49.95,50.07,49.33
440,2019-09-10,49.21,16119220,48.57,49.345,47.945
441,2019-09-09,48.58,21175060,48.97,49.005,48.46
442,2019-09-06,48.84,17939060,48.65,48.99,48.27
443,2019-09-05,48.42,18436760,48.02,48.71,47.78
444,2019-09-04,47.32,13707390,47.02,47.41,46.89
445,2019-09-03,46.5,17010970,46.63,46.97,46.2
