,Date,Close/Last,Volume,Open,High,Low
0,2021-06-09,330.25,13727950,335.74,336.8,330.0
1,2021-06-08,333.68,14580460,336.7,338.2999,332.24
2,2021-06-07,336.58,20136710,329.48,337.69,328.93
3,2021-06-04,330.35,13289380,325.9,332.455,325.18
4,2021-06-03,326.04,12610790,325.78,327.375,323.48
5,2021-06-02,329.15,11654280,330.38,331.87,327.1215
6,2021-06-01,329.13,11765910,330.15,331.42,326.64
7,2021-05-28,328.73,12037430,331.0,332.8684,328.33
8,2021-05-27,332.75,20477730,328.0,333.78,326.76
9,2021-05-26,327.66,9686917,328.35,329.8299,325.82
10,2021-05-25,327.79,16436970,327.08,329.18,324.8
11,2021-05-24,324.63,16445360,318.21,325.95,318.03
12,2021-05-21,316.23,13600900,319.29,319.93,315.8101
13,2021-05-20,318.61,17320240,313.58,319.25,313.16
14,2021-05-19,313.59,19106240,304.185,314.66,303.57
15,2021-05-18,309.96,14522400,315.59,316.5,309.81
16,2021-05-17,315.46,15371050,313.55,315.68,311.58
17,2021-05-14,315.94,19245720,309.54,316.85,309.08
18,2021-05-13,305.26,18079160,306.0833,308.86,302.7701
19,2021-05-12,302.55,24641010,301.13,304.96,298.19
20,2021-05-11,306.53,18920090,300.75,306.84,299.69
21,2021-05-10,305.97,24239170,314.35,314.5786,304.83
22,2021-05-07,319.08,15916740,322.38,322.935,318.75
23,2021-05-06,320.02,19012240,314.52,320.24,313.275
24,2021-05-05,315.02,15577610,318.19,321.06,314.49
25,2021-05-04,318.36,24032560,320.025,322.19,313.12
26,2021-05-03,322.58,18719460,326.17,328.55,321.84
27,2021-04-30,325.08,26332420,326.144,329.82,324.5
28,2021-04-29,329.51,56526770,330.12,331.81,321.61
29,2021-04-28,307.1,33907210,307.36,310.92,305.37
30,2021-04-27,303.57,15309260,304.28,305.34,301.11
31,2021-04-26,303.04,16172590,303.34,305.8,301.56
32,2021-04-23,301.13,17559500,298.76,302.59,297.15
33,2021-04-22,296.52,16375350,301.33,302.92,296.04
34,2021-04-21,301.47,14863470,301.945,301.98,297.39
35,2021-04-20,302.65,16796440,301.99,305.1,297.21
36,2021-04-19,302.24,14553510,305.007,307.7,300.56
37,2021-04-16,306.18,13059160,308.17,308.95,304.61
38,2021-04-15,307.82,14558270,306.34,310.14,304.1
39,2021-04-14,302.82,17421390,307.3,308.03,301.95
40,2021-04-13,309.76,14036930,312.21,314.428,309.32
41,2021-04-12,311.54,10881940,311.05,312.15,307.93
42,2021-04-09,312.46,15988570,311.4,314.74,310.33
43,2021-04-08,313.02,20894150,314.85,315.88,310.05
44,2021-04-07,313.09,22855240,306.34,314.25,305.5
45,2021-04-06,306.26,17335250,308.837,311.35,305.25
46,2021-04-05,308.91,28237010,300.89,310.765,300.68
47,2021-04-01,298.66,17615980,298.4,302.4,296.6
48,2021-03-31,294.53,19498160,289.99,296.5,288.61
