,Date,Close/Last,Volume,Open,High,Low
0,2021-06-09,132.89,6717243,135.105,135.35,132.79
1,2021-06-08,134.2,9657889,134.06,135.3895,133.0
2,2021-06-07,133.32,5563253,133.7,133.77,132.64
3,2021-06-04,134.34,7416675,132.525,135.05,132.2
4,2021-06-03,131.78,6643997,132.65,133.39,131.42
5,2021-06-02,133.82,6025988,133.18,134.73,132.47
6,2021-06-01,133.94,7059614,135.104,136.07,133.53
7,2021-05-28,134.54,7044084,134.154,135.64,133.95
8,2021-05-27,133.64,7379260,132.73,134.64,132.71
9,2021-05-26,133.09,6663325,133.87,134.52,132.22
10,2021-05-25,133.75,7271428,133.54,134.3,132.8
11,2021-05-24,132.91,8229331,131.33,134.0,131.33
12,2021-05-21,131.46,8673957,132.14,132.6897,130.49
13,2021-05-20,132.64,9208354,131.529,133.28,131.46
14,2021-05-19,130.66,8112930,127.185,130.83,126.45
15,2021-05-18,128.91,8651133,130.64,131.24,128.79
16,2021-05-17,129.8,5913245,129.29,129.83,127.71
17,2021-05-14,130.15,9391122,128.63,131.42,127.81
18,2021-05-13,127.11,10635090,127.12,128.48,125.87
19,2021-05-12,124.62,13529630,126.029,127.13,123.68
20,2021-05-11,128.37,11947960,125.25,128.56,124.77
21,2021-05-10,128.94,19537230,136.02,136.68,128.82
22,2021-05-07,137.85,6893704,136.937,138.69,136.29
23,2021-05-06,136.0,8352536,134.49,136.54,133.095
24,2021-05-05,134.65,6285459,136.08,136.45,134.11
25,2021-05-04,134.12,11996280,136.0,136.0,132.42
26,2021-05-03,137.43,7920307,139.7,139.76,136.87
27,2021-04-30,138.8,11374600,141.07,142.09,138.26
28,2021-04-29,142.68,20502140,145.01,145.2965,140.67
29,2021-04-28,136.57,13118140,138.17,138.2731,135.75
30,2021-04-27,138.01,9284499,138.71,139.38,136.98
31,2021-04-26,138.96,9715383,135.33,139.69,135.12
32,2021-04-23,135.43,7669057,133.74,136.1064,133.535
33,2021-04-22,132.97,8345144,135.37,135.96,132.47
34,2021-04-21,136.19,7237924,132.82,136.365,132.5
35,2021-04-20,133.4,7473703,134.55,134.78,132.79
36,2021-04-19,135.25,8728948,136.9,137.05,134.085
37,2021-04-16,138.21,6583895,137.62,139.005,136.65
38,2021-04-15,137.84,11733240,136.0,137.99,135.57
39,2021-04-14,134.75,9967790,137.08,137.84,133.91
40,2021-04-13,137.3,9225208,138.38,138.77,135.75
41,2021-04-12,137.44,10355530,138.86,139.89,136.05
42,2021-04-09,140.57,6033171,139.904,140.68,138.88
43,2021-04-08,140.34,7304948,140.0,140.37,138.81
44,2021-04-07,139.43,6958516,138.33,139.95,137.4
