,Date,Close/Last,Volume,Open,High,Low
0,2021-06-09,111.39,3669725,111.736,112.19,111.33
1,2021-06-08,111.52,4669852,111.38,111.99,110.86
2,2021-06-07,111.33,4009023,111.98,112.2768,110.99
3,2021-06-04,111.99,4477543,111.62,112.065,111.05
4,2021-06-03,111.12,5723894,112.01,112.24,110.15
5,2021-06-02,113.0,5044970,113.71,113.71,112.745
6,2021-06-01,113.34,4306926,114.558,114.6237,113.1
7,2021-05-28,113.88,4239973,114.35,114.35,113.05
8,2021-05-27,113.51,7378437,113.47,114.09,112.755
9,2021-05-26,112.85,3841607,113.295,113.866,112.63
10,2021-05-25,112.63,5391837,112.915,113.15,112.18
11,2021-05-24,112.52,5436295,111.798,113.03,111.52
12,2021-05-21,110.92,5146620,111.63,112.22,110.57
13,2021-05-20,111.41,5345545,109.98,111.69,109.87
14,2021-05-19,109.67,5997454,109.6,109.94,108.88
15,2021-05-18,111.07,5177382,111.37,112.21,111.01
16,2021-05-17,110.98,4519580,111.22,111.27,109.83
17,2021-05-14,111.2,6836260,111.01,111.59,110.25
18,2021-05-13,110.49,7999752,110.16,111.18,109.155
19,2021-05-12,109.79,7965263,111.87,112.39,109.56
20,2021-05-11,113.55,7775369,113.32,113.69,112.17
21,2021-05-10,114.3,5759483,114.57,116.085,114.21
22,2021-05-07,114.34,4867501,115.11,115.84,114.24
23,2021-05-06,114.74,4113286,113.65,114.81,113.1
24,2021-05-05,113.48,4677689,114.21,114.88,113.16
25,2021-05-04,114.11,6265098,115.15,115.4,113.535
26,2021-05-03,115.72,5049806,115.18,116.74,115.13
27,2021-04-30,114.49,6478714,114.0,114.95,113.49
28,2021-04-29,114.63,8936555,113.21,115.1499,112.76
29,2021-04-28,112.4,14793490,113.44,114.1499,111.61
30,2021-04-27,116.15,7260927,115.67,116.3899,115.27
31,2021-04-26,115.92,5924931,116.95,117.25,115.06
32,2021-04-23,117.56,4559282,116.02,117.98,115.84
33,2021-04-22,115.92,5745110,116.868,116.88,115.225
34,2021-04-21,116.74,4397440,116.09,117.26,115.86
35,2021-04-20,116.27,5662376,116.96,117.2594,115.35
36,2021-04-19,117.6,4889684,118.17,118.98,117.04
37,2021-04-16,118.34,5777860,117.82,118.5,116.94
38,2021-04-15,116.66,5079094,115.1,116.89,114.78
39,2021-04-14,115.16,3994551,115.22,116.235,114.72
40,2021-04-13,115.36,4607384,113.78,115.6,113.682
41,2021-04-12,113.81,4707805,113.02,113.89,112.77
42,2021-04-09,113.18,4114258,112.91,113.27,111.97
43,2021-04-08,113.04,5011290,113.65,113.96,112.6799
44,2021-04-07,113.19,5629622,112.91,113.76,112.65
45,2021-04-06,113.15,6745242,111.38,113.82,111.095
46,2021-04-05,111.02,6913105,109.91,111.35,109.87
47,2021-04-01,109.38,5792950,110.06,110.06,108.2
48,2021-03-31,109.27,6478401,110.33,111.6199,109.19
49,2021-03-30,110.27,4552862,108.42,110.45,108.28
50,2021-03-29,109.13,5167195,109.01,110.25,106.59
51,2021-03-26,109.9,6167570,107.25,110.0,107.175
52,2021-03-25,107.35,8149044,105.007,107.7,104.06
53,2021-03-24,104.97,5731334,106.63,107.28,104.94
54,2021-03-23,106.25,5657840,107.74,107.9477,105.6738
55,2021-03-22,107.57,7605084,106.4,108.42,106.0
56,2021-03-19,106.34,21452020,108.35,108.85,105.825
57,2021-03-18,107.62,7813431,109.28,110.27,107.5
58,2021-03-17,110.46,10128450,111.31,111.46,108.9327
